time,session 
10,12910.422999999999 
20,12106.792 
30,0 
40,5401.693884210525 
50,5653.904712777203 
60,19787.276233128843 
70,27997.031878947375 
80,37790.283111111115 
90,48647.10297619047 
100,55363.813130434784 
110,67546.39035 
120,78239.30998630138 
130,90126.22959999999 
140,97367.5924 
150,111026.45605882352 
160,119816.62232203389 
170,127105.27829166666 
180,140051.50976190477 
190,149885.62805882344 
200,161809.2687647059 
210,176084.62008695654 
220,176936.51687500003 
230,189452.8567692308 
240,197126.227 
250,209371.85646428572 
260,221978.0831818182 
270,229614.0265925926 
280,238540.740745098 
290,248699.64762068962 
300,256512.56374999997 
310,264859.3054285714 
320,279413.5645333334 
330,291328.62957142846 
340,299325.5983333333 
350,309783.3176428572 
360,323148.18425000005 
370,329718.5535799999 
380,337501.6167464789 
390,347118.12360869575 
400,358285.31141538464 
410,367872.5216458333 
420,370285.4732631579 
421,0 
