time,error_connection_closed,error_abort_max_send_retries,error_send_einval 
40,40.8,6.4,9.4 
50,642.8,179.2,63.1 
60,30.9,6.3,14.6 
70,1.9,0.1,2.8 
80,0.8,0.8,2.4 
90,0,0,0.5 
100,0.1,0.1,0 
110,0,0,0 
120,0,0,0 
130,0,0,0 
140,0,0,0 
150,0,0,0 
160,0,0,0 
170,0,0,0 
180,0,0,0 
190,0,0,0 
200,0,0,0 
210,0,0,0 
220,0,0,0 
230,0,0,0 
240,0,0,0 
250,0,0,0 
260,0,0,0 
270,0,0,0 
280,0,0,0 
290,0,0,0 
300,0,0,0 
310,0,0,0 
320,0,0,0 
330,0,0,0 
340,0,0,0 
350,0,0,0 
360,0,0,0 
370,0,0,0 
380,0,0,0 
390,0,0,0 
400,0,0,0 
410,0,0,0 
420,0,0,0 
421,0,0,0 
