time,page 
0,133.22691666666665 
10,278.10067045454554 
20,520.6453456221197 
30,5213.363028776977 
40,1133.151874891395 
50,1362.4961532732336 
60,627.0190654834746 
70,3100.269972727269 
80,10828.951381031598 
90,11036.066139423077 
100,20920.82672932329 
110,45783.474730769216 
120,53223.139060240894 
130,52989.24717261903 
140,55229.7127222222 
150,57519.25203311257 
160,54651.49065476188 
170,51664.53437804877 
180,48741.49724193549 
190,40311.18618213055 
200,37238.27050625 
210,36180.891547826104 
220,40665.15291025641 
230,51384.82102307694 
240,51001.781338709676 
250,61167.000217821806 
260,63023.65324999996 
270,66365.01936363637 
280,62640.92516197184 
290,71483.4492278481 
300,79349.98657894738 
310,66025.80178124999 
320,71789.7811355932 
330,72909.6508933334 
340,68572.5069404762 
350,70814.96776119401 
360,63615.64163934427 
370,78070.66325663713 
380,47981.250289156626 
390,35785.04893220338 
400,25908.589086021486 
410,24411.97521698113 
420,5.458130434782609 
421,0 
