time,200,302,504 
0,0.4,0.8, 
10,3.7,5.5, 
20,8.8,13, 
30,7.2,21.5, 
40,10.4,32.1, 
50,15,65.1, 
60,5.8,12.2, 
70,5.3,15.1, 
80,6.6,14.4, 
90,3.2,9.4, 
100,2.5,10.5, 
110,2.8,16.9,4.4 
120,2.7,22.3,4.3 
130,3.4,15.3,0.6 
140,1.8,16.9,1.1 
150,2.5,15.6,0.2 
160,2.1,28.1,0 
170,3.5,16,0 
180,8.5,21.3,0 
190,9.3,26.3,0 
200,6.8,12.2,0 
210,5.8,8.3,0 
220,5.7,4.9,0 
230,5.7,10.5,0 
240,4.5,4,0 
250,6.1,5.5,1.6 
260,6,6.1,5.6 
270,2.6,3.5,2.6 
280,4.4,9.3,3.3 
290,3.9,3.4,2.1 
300,5.4,3.1,2 
310,2.3,0.8,2 
320,1.6,1.5,5.1 
330,2.2,2.3,3.9 
340,1.7,2.9,3.8 
350,1.5,1.4,3.8 
360,0.4,0.4,5.3 
370,4.7,5,1.6 
380,0.3,6.7,1.3 
390,0,9.6,2.2 
400,1.3,6.5,1.5 
410,6.2,4.4,0 
420,0,2.3,0 
421,0,0,0 
