time,connect,request 
0,2.6404999999999994,104.59214999999999 
10,1.1796874999999998,141.3615267175572 
20,1.2869736842105266,1151.2011179245287 
30,1.6001580976863772,5246.8057703180175 
40,3.0998135276532213,486.4354521689703 
50,1.7330955015134082,694.1229092510991 
60,1.3849824213212343,4688.7273569899 
70,1.9443864273695999,4650.220397597597 
80,1.3676966442953016,16254.646605337057 
90,1.2956158038147143,20786.835291989686 
100,1.3729448818897636,22095.09501368159 
110,1.2185000000000001,13638.088987519503 
120,0,6822.7339526112155 
130,0,7440.715654639175 
140,0,14739.535838983053 
150,0,20137.413303571433 
160,0,21339.217547368426 
170,0,16054.98599180328 
180,0,14470.973252173915 
182,0,4.445 
