time,size_sent,size_rcv 
0,7.65234375,54.0921875 
10,52.18984375,356.58515625 
20,116.95703125,626.3078125 
30,199.9015625,801.40546875 
40,708.26484375,657.7359375 
50,970.1,674.19296875 
60,862.62578125,1779.1953125 
70,648.62890625,442.4953125 
80,221.66875,378.134375 
90,142.9203125,336.26875 
100,209.2375,868.5875 
110,196.1078125,1590.78359375 
120,307.575,1971.84140625 
130,113.7578125,839.41640625 
140,45.33359375,927.98046875 
150,35.13828125,849.91640625 
160,30.290625,788.6625 
170,18.76484375,824.62734375 
180,34.934375,1438.05078125 
182,0.56640625,0.8296875 
