time,load@tsung_controller@ip-172-31-44-72 
0,0.21875 
10,0.21875 
20,0.21875 
30,0.37109375 
40,0.46875 
50,0.69921875 
60,0.75 
70,0.75 
80,0.75 
90,0.75 
100,0.75 
110,0.75 
120,0.75 
130,0.75 
140,0.75 
141,0.75 
