time,users,connected 
0,11,9 
10,48,35 
20,209,154 
30,892,639 
40,3503,189 
50,4384,-4 
60,4384,0 
70,4384,0 
80,4384,-2 
90,4384,-3 
100,4384,5 
110,4384,0 
120,4384,-35 
130,4384,-64 
140,4384,-82 
150,4384,-182 
160,4384,-70 
170,4384,-113 
180,4384,-137 
190,4384,-84 
200,4384,-104 
