time,error_connection_closed,error_abort_max_send_retries,error_send_einval 
40,0.7,,0.7 
50,178.4,26.1,22.9 
60,177.3,52.5,11.1 
70,0.6,0,1.1 
80,0.3,0,0.3 
90,0,0.1,0.2 
100,0,0,0 
110,0,0,0 
120,0,0,0 
130,0,0,0 
135,0,0,0 
