time,error_connection_closed,error_abort_max_send_retries,error_send_einval 
40,11.7,0.3,3.4 
50,325.7,86.8,14.2 
60,50.9,10.5,14.4 
70,1.2,0.2,1.5 
80,1.7,0.2,4.3 
90,0.2,0,0.9 
100,0,0,0 
110,0,0,0 
120,0,0,0 
130,0,0,0 
140,0,0,0 
150,0,0,0 
160,0,0,0 
162,0,0,0 
