time,size_sent,size_rcv 
0,7.35,95.27578125 
10,70.23046875,659.9296875 
20,212.803125,1616.97890625 
30,433.1390625,3468.39609375 
40,1439.27734375,4590.6515625 
50,3103.4515625,5239.56796875 
60,4261.0453125,6236.74296875 
70,4944.0515625,7352.146875 
80,5411.78984375,8298.8921875 
90,5747.8984375,8820.49609375 
100,5916.6703125,9335.22109375 
110,6110.81796875,10375.053125 
120,6689.47109375,13841.56171875 
130,7420.54765625,17623.66015625 
140,7535.40390625,18213.678125 
150,7543.8328125,18248.75703125 
160,7546.1125,18263.44375 
162,7546.1125,18263.44375 
