time,page 
0,242.48740000000004 
34,218.930512195122 
44,449.05801709401703 
54,2517.6725890410953 
64,7500.373144927536 
74,406.5406462625079 
84,346.7380404192793 
94,963.899196297723 
104,1581.0374777168306 
114,3069.241699514222 
124,13402.131585227284 
134,8943.381484087116 
144,10803.701451310866 
154,15905.199148588417 
164,11173.576248667856 
174,7475.919262251649 
184,7599.566042975201 
194,7525.027529090912 
204,4895.584136919323 
214,4752.954281385284 
224,6257.442561983471 
232,4922.060549549551 
