time,error_connection_closed,error_abort_max_send_retries,error_send_einval 
74,1.05882352941176,,0.470588235294118 
84,92.0588235294118,23.6176470588235,5.41176470588235 
94,3.91176470588235,0.147058823529412,2 
104,1.44117647058824,0.0882352941176471,0.823529411764706 
114,1.05882352941176,0,0.558823529411765 
124,0.352941176470588,0,0.205882352941176 
134,0.0294117647058824,0,0.0882352941176471 
144,0,0,0.117647058823529 
154,0,0,0 
164,0,0,0 
174,0,0,0 
184,0,0,0 
194,0,0,0 
204,0,0,0 
214,0,0,0 
224,0,0,0 
232,0,0,0 
