time,connect,request 
0,4.137349557385742,135.082630074687 
10,7.720367808163892,170.67005749101685 
20,2.051513220430271,1244.5031523917066 
30,2.5931390808963366,2694.874973865466 
40,2.948007213634094,2746.7896813717525 
50,9.403564004148603,3128.903128996232 
60,1.3887402213282445,3636.2039598268248 
70,1.7384302157109806,5537.96855170447 
80,2.949804150158112,10333.863483471227 
90,1.7264853354842093,19740.138794753762 
100,1.720217199203367,9606.754696235837 
110,4.0916775152605664,498.0321118805875 
120,0.0,94.5994673718262 
130,0.0,13.351384165092224 
140,0,15.062697079272992 
142,0,0 
