time,error_connection_closed,error_abort_max_send_retries,error_send_einval 
40,35,3.9,7.2 
50,257.1,61.8,20.9 
60,15,1,6.6 
70,10,0.9,8 
80,3.2,0,3.1 
90,1.5,0.2,1.6 
100,0,0,0.1 
110,0,0,0 
120,0,0,0 
130,0,0,0 
140,0,0,0 
142,0,0,0 
