time,page 
0,169.08814285714286 
10,235.32853465346543 
20,668.3700251046027 
30,5399.9089437939165 
40,855.0401152862471 
50,739.524546140118 
60,449.6916878455817 
70,853.6424490705366 
80,1020.7831806696155 
90,2731.4855617611074 
100,7274.303079681265 
110,23761.13248110828 
120,11939.518746971733 
130,11926.385741028113 
140,10875.916022911037 
150,14568.867409302322 
160,13184.19931524927 
170,11723.20969595782 
180,9657.334988439314 
190,11130.658912969286 
200,10814.823177966102 
210,10326.086232198133 
220,10747.059527272731 
230,10920.770820359283 
240,6475.679587248321 
250,6448.056896396395 
260,5284.594682795698 
270,6829.569913385827 
279,3114.8517285714297 
