time,freemem@tsung_controller@ip-172-31-42-147 
0,664.87890625 
10,667.17578125 
20,656.328125 
30,640.2265625 
40,605.2421875 
50,467.1171875 
60,385.390625 
70,373.5390625 
80,372.4453125 
90,376.875 
100,421.50390625 
110,432.23828125 
120,434.25 
130,438.58984375 
140,432.8515625 
150,424.2421875 
160,417.39453125 
170,413.80078125 
180,435.5390625 
190,453.6484375 
200,454.1640625 
210,469.875 
220,473.25 
230,470.35546875 
240,467.43359375 
250,479.29296875 
260,492.17578125 
270,531.359375 
279,572.4921875 
