time,size_sent,size_rcv 
0,3.88359375,39.35625 
10,37.509375,310.13125 
20,123.73515625,832.359375 
30,253.1796875,1403.10078125 
40,933.5125,2164.33984375 
50,2673.83125,3080.43046875 
60,4329.690625,3497.28515625 
70,5785.99375,3875.67890625 
80,6923.31484375,4055.421875 
90,7661.4703125,4202.33359375 
100,8144.51484375,4401.93515625 
110,8466.95078125,5147.075 
120,8653.3015625,5930.0703125 
130,8911.52578125,7401.71171875 
140,9111.64921875,9015.09609375 
150,9237.75859375,10136.65859375 
160,9425.06328125,11483.73984375 
170,9574.46171875,12840.78125 
180,9724.20390625,13941.459375 
190,9874.7625,15508.0296875 
200,9998.48671875,16583.728125 
210,10117.996875,17647.034375 
220,10240.234375,19139.059375 
230,10314.37265625,20052.97421875 
240,10430.65625,21617.15 
250,10556.625,23076.8203125 
260,10635.83984375,24215.05 
270,10687.98828125,25324.1921875 
279,10713.9578125,25841.13203125 
