time,session 
40,0 
50,6874.0026835233675 
60,9015.05850463683 
70,7968.926888046595 
80,8101.998038859967 
90,7479.038871376006 
100,6914.305454911912 
110,8884.710174579755 
120,6717.25739585094 
130,6638.73719116512 
140,6861.805051552489 
150,7962.934988837611 
160,8523.178461897256 
170,7526.962189488618 
180,9817.446249680517 
190,6169.6902195639395 
200,6330.666361182728 
210,6933.521766193246 
220,6978.116498446726 
230,5946.8133114797265 
240,5723.278186049116 
250,8045.85761518977 
260,8530.464219481739 
270,7170.0558913876575 
279,5693.078578286327 
