time,error_connection_closed,error_abort_max_send_retries,error_send_einval 
40,408,64,94 
50,6836,1856,725 
60,7145,1919,871 
70,7164,1920,899 
80,7172,1928,923 
90,7172,1928,928 
100,7173,1929,928 
110,7173,1929,928 
120,7173,1929,928 
130,7173,1929,928 
140,7173,1929,928 
150,7173,1929,928 
160,7173,1929,928 
170,7173,1929,928 
180,7173,1929,928 
190,7173,1929,928 
200,7173,1929,928 
210,7173,1929,928 
220,7173,1929,928 
230,7173,1929,928 
240,7173,1929,928 
250,7173,1929,928 
260,7173,1929,928 
270,7173,1929,928 
280,7173,1929,928 
290,7173,1929,928 
300,7173,1929,928 
310,7173,1929,928 
320,7173,1929,928 
330,7173,1929,928 
340,7173,1929,928 
350,7173,1929,928 
360,7173,1929,928 
370,7173,1929,928 
380,7173,1929,928 
390,7173,1929,928 
400,7173,1929,928 
410,7173,1929,928 
420,7173,1929,928 
421,7173,1929,928 
