time,freemem@tsung_controller@ip-172-31-32-26 
0,678.8515625 
10,678.8515625 
20,678.8515625 
30,678.8515625 
40,678.8515625 
50,678.8515625 
60,678.8515625 
70,678.8515625 
80,678.8515625 
90,678.8515625 
100,678.8515625 
110,678.8515625 
120,678.8515625 
130,678.8515625 
140,678.8515625 
150,678.8515625 
160,678.8515625 
170,678.8515625 
180,678.8515625 
190,678.8515625 
200,678.8515625 
210,678.8515625 
220,678.8515625 
230,678.8515625 
240,678.8515625 
250,678.8515625 
260,678.8515625 
270,678.8515625 
280,678.8515625 
290,678.8515625 
300,678.8515625 
310,678.8515625 
320,678.8515625 
330,678.8515625 
340,678.8515625 
350,678.8515625 
360,678.8515625 
370,678.8515625 
380,678.8515625 
390,678.8515625 
400,678.8515625 
410,678.8515625 
420,678.8515625 
