time,users_count,finish_users_count 
0,4,0 
10,37,2 
20,159,3 
30,655,3 
40,2625,98 
50,4364,1992 
60,4364,2807 
70,4364,3187 
80,4364,3241 
90,4364,3283 
100,4364,3306 
110,4364,3326 
120,4364,3399 
130,4364,3419 
140,4364,3439 
150,4364,3456 
160,4364,3515 
170,4364,3539 
180,4364,3560 
190,4364,3611 
200,4364,3628 
210,4364,3651 
220,4364,3667 
230,4364,3706 
240,4364,3727 
250,4364,3755 
260,4364,3788 
270,4364,3815 
280,4364,3866 
290,4364,3895 
300,4364,3927 
310,4364,3934 
320,4364,3949 
330,4364,3977 
340,4364,4001 
350,4364,4015 
360,4364,4019 
370,4364,4069 
380,4364,4140 
390,4364,4232 
400,4364,4297 
410,4364,4345 
420,4364,4364 
421,4364,4364 
