time,size_sent,size_rcv 
0,3.29140625,18.3328125 
10,32.14375,315.35546875 
20,105.090625,724.0390625 
30,211.2125,1297.5765625 
40,680.025,1887.3890625 
50,1748.8859375,2709.86328125 
60,2654.4046875,3109.196875 
70,3014.7640625,3438.1515625 
80,3217.43359375,3762.40546875 
90,3387.83359375,3931.69453125 
100,3508.04375,4104.82421875 
110,3594.5578125,4345.85703125 
120,3655.28515625,4563.45234375 
130,3718.53671875,4814.60078125 
140,3792.14375,5010.3546875 
150,3855.35078125,5279.78125 
160,3922.71328125,5823.1 
170,3997.221875,6166.96875 
180,4101.73125,6919.653125 
190,4204.2015625,7816.20625 
200,4293.4765625,8822.8953125 
210,4351.56953125,9734.46875 
220,4395.76640625,10699.1203125 
230,4435.91796875,11706.4234375 
240,4473.0046875,12529.2328125 
250,4523.24453125,13230.1953125 
260,4589.05625,13507.71484375 
270,4630.4921875,13618.79609375 
280,4677.0359375,13817.5921875 
290,4710.296875,13969.64140625 
300,4751.4140625,14167.73828125 
310,4777.096875,14608.14765625 
320,4812.184375,14682.24375 
330,4847.58984375,14773.88984375 
340,4880.059375,14853.40234375 
350,4912.065625,14921.61953125 
360,4937.2953125,14950.65703125 
370,4974.73203125,15144.96796875 
380,4989.20703125,15212.94765625 
390,5001.56328125,15297.61484375 
400,5018.6953125,15685.78203125 
410,5044.7484375,17299.9078125 
420,5058.34140625,17318.884375 
421,5058.34140625,17318.884375 
