time,load@tsung_controller@ip-172-31-32-26 
0,0.0 
10,0.0 
20,0.0 
30,0.0 
40,0.0 
50,0.078125 
60,0.37890625 
70,0.5390625 
80,0.5390625 
90,0.5390625 
100,0.5390625 
110,0.5390625 
120,0.5390625 
130,0.5390625 
140,0.5390625 
150,0.5390625 
160,0.5390625 
170,0.5390625 
180,0.5390625 
190,0.5390625 
200,0.5390625 
210,0.5390625 
220,0.5390625 
230,0.5390625 
240,0.5390625 
250,0.5390625 
260,0.5390625 
270,0.5390625 
280,0.5390625 
290,0.5390625 
300,0.5390625 
310,0.5390625 
320,0.5390625 
330,0.5390625 
340,0.5390625 
350,0.5390625 
360,0.5390625 
370,0.5390625 
380,0.5390625 
390,0.5390625 
400,0.5390625 
410,0.5390625 
420,0.5390625 
