time,freemem@tsung_controller@ip-172-31-32-26 
0,678.8515625 
10,678.1875 
20,670.4140625 
30,654.94140625 
40,625.75 
50,523.2109375 
60,490.6171875 
70,486.87890625 
80,492.89453125 
90,492.76171875 
100,499.58984375 
110,500.08984375 
120,501.04296875 
130,500.90234375 
140,502.00390625 
150,501.80078125 
160,501.609375 
170,500.94140625 
180,499.4921875 
190,484.2578125 
200,469.8515625 
210,460.03125 
220,449.88671875 
230,440.7421875 
240,430.04296875 
250,423.7265625 
260,420.50390625 
270,419.90234375 
280,416.5 
290,415.671875 
300,416.04296875 
310,415.15234375 
320,412.90234375 
330,412.296875 
340,412.04296875 
350,412.4375 
360,413.29296875 
370,414.39453125 
380,432.06640625 
390,482.57421875 
400,534.5390625 
410,633.25 
420,647.96875 
