time,connect,request 
0,0.4,1.2 
10,2.7,9.2 
20,11.9,21.8 
30,45.2,28.7 
40,443.4,349.9 
50,1692.5,807.6 
60,636.3,585.6 
70,182.6,178.7 
80,68.1,65.7 
90,47.4,48 
100,28.7,30.9 
110,22.3,30.2 
120,15.1,29.4 
130,0.7,19.3 
140,0,19.8 
150,0,18.3 
160,0,30.2 
170,0,19.5 
180,0,29.8 
190,0,35.6 
200,0,19 
210,0,14.1 
220,0,10.6 
230,0,16.2 
240,0,8.5 
250,0,13.2 
260,0,17.7 
270,0,8.7 
280,0,17 
290,0,9.4 
300,0,10.5 
310,0,5.1 
320,0,8.2 
330,0,8.4 
340,0,8.4 
350,0,6.7 
360,0,6.1 
370,0,11.3 
380,0,8.3 
390,0,11.8 
400,0,9.3 
410,0,10.6 
420,0,2.3 
421,0,0 
