time,freemem@tsung_controller@ip-172-31-32-26 
0,678.8515625 
10,678.1875 
20,670.4140625 
30,654.94140625 
40,625.75 
50,523.2109375 
60,490.6171875 
70,486.87890625 
80,486.87890625 
90,486.87890625 
100,486.87890625 
110,486.87890625 
120,486.87890625 
130,486.87890625 
140,486.87890625 
150,486.87890625 
160,486.87890625 
170,486.87890625 
180,486.87890625 
190,484.2578125 
200,469.8515625 
210,460.03125 
220,449.88671875 
230,440.7421875 
240,430.04296875 
250,423.7265625 
260,420.50390625 
270,419.90234375 
280,416.5 
290,415.671875 
300,415.671875 
310,415.15234375 
320,412.90234375 
330,412.296875 
340,412.04296875 
350,412.04296875 
360,412.04296875 
370,412.04296875 
380,412.04296875 
390,412.04296875 
400,412.04296875 
410,412.04296875 
420,412.04296875 
