time,200,302,504 
0,4,8, 
10,41,63, 
20,129,193, 
30,201,408, 
40,305,729, 
50,455,1380, 
60,513,1502, 
70,566,1653, 
80,632,1797, 
90,664,1891, 
100,689,1996, 
110,717,2165,44 
120,744,2388,87 
130,778,2541,93 
140,796,2710,104 
150,821,2866,106 
160,842,3147,106 
170,877,3307,106 
180,962,3520,106 
190,1055,3783,106 
200,1123,3905,106 
210,1181,3988,106 
220,1238,4037,106 
230,1295,4142,106 
240,1340,4182,106 
250,1401,4237,122 
260,1461,4298,178 
270,1487,4333,204 
280,1531,4426,237 
290,1570,4460,258 
300,1624,4491,278 
310,1647,4499,298 
320,1663,4514,349 
330,1685,4537,388 
340,1702,4566,426 
350,1717,4580,464 
360,1721,4584,517 
370,1768,4634,533 
380,1771,4701,546 
390,1771,4797,568 
400,1784,4862,583 
410,1846,4906,583 
420,1846,4929,583 
421,1846,4929,583 
