time,error_connection_closed,error_abort_max_send_retries,error_send_einval 
40,450,61,29 
50,4679,1163,288 
60,4837,1176,335 
70,4869,1178,355 
80,4883,1178,366 
90,4888,1179,370 
100,4888,1179,370 
110,4888,1179,370 
120,4888,1179,370 
130,4888,1179,370 
140,4888,1179,370 
150,4888,1179,370 
160,4888,1179,370 
170,4888,1179,370 
180,4888,1179,370 
190,4888,1179,370 
192,4888,1179,370 
