time,page 
0,0.8 
10,9.4 
20,30 
30,20.4 
40,306.5 
50,1472 
60,743.3 
70,265.4 
80,124.8 
90,88.7 
100,73.5 
110,234 
120,45.9 
130,5.2 
135,0.2 
