time,error_connection_closed,error_abort_max_send_retries,error_send_einval 
40,356.6,97,33.3 
50,241.2,71.5,31.3 
60,5.9,0.3,6.2 
70,0.7,0,1.4 
80,0.3,0,0.5 
90,0,0.1,0.4 
100,0,0,0 
110,0,0,0 
120,0,0,0 
130,0,0,0 
140,0,0,0 
141,0,0,0 
