time,error_connection_closed,error_abort_max_send_retries,error_send_einval 
40,3566,970,333 
50,5978,1685,646 
60,6037,1688,708 
70,6044,1688,722 
80,6047,1688,727 
90,6047,1689,731 
100,6047,1689,731 
110,6047,1689,731 
120,6047,1689,731 
130,6047,1689,731 
140,6047,1689,731 
141,6047,1689,731 
