time,error_connection_closed,error_abort_max_send_retries,error_send_einval 
40,6.1,,1.7 
50,344.8,80.1,20.1 
60,18.1,1.2,9 
70,9,0.3,3.6 
80,3.4,0.1,2 
90,0.6,0,0.7 
100,0.1,0,0.1 
110,0.1,0,0.5 
120,0.1,0,0.3 
130,0,0,0 
140,0,0,0 
150,0,0,0 
160,0,0,0 
170,0,0,0 
180,0,0,0 
190,0,0,0 
200,0,0,0 
