time,session 
0,0 
10,1795.3288117988 
20,0.0 
30,0 
40,5265.3653361709175 
50,7034.908403342816 
60,8190.879339130438 
70,10052.924443709633 
80,7305.329095767178 
90,9113.69759670638 
100,7014.478227295648 
110,7050.560293531287 
120,6010.8201568158065 
130,7771.075748203937 
140,8921.480922201226 
150,6717.258469368623 
160,6394.5516068679735 
170,7420.245614945892 
180,9994.712473396985 
190,7277.230688048797 
200,7129.141784168296 
210,7225.128260298083 
220,5506.743207539243 
230,2766.9969099733753 
240,7592.962889358295 
250,8156.869128767022 
260,9766.057634941706 
270,5421.941736776908 
280,5910.606761734888 
287,4178.518545277525 
