time,cpu@tsung_controller@ip-172-31-32-26 
0,1.6232023823874773 
10,1.6232023823874773 
20,1.6232023823874773 
30,1.597603594608088 
40,1.597603594608088 
50,1.597603594608088 
60,1.597603594608088 
70,1.597603594608088 
80,1.597603594608088 
90,1.597603594608088 
100,1.597603594608088 
110,1.597603594608088 
120,1.597603594608088 
130,0.10010010010010009 
140,0.10010010010010009 
150,0.10010010010010009 
160,0.10010010010010009 
170,0.10010010010010009 
180,0.10010010010010009 
190,0.10010010010010009 
200,0.10010010010010009 
210,0.10010010010010009 
220,0.10010010010010009 
230,0.10010010010010009 
240,0.10010010010010009 
250,0.10010010010010009 
260,0.10010010010010009 
270,0.10010010010010009 
280,0.10010010010010009 
287,0.10010010010010009 
