time,size_sent,size_rcv 
0,12.32890625,165.63125 
10,52.0796875,776.1171875 
20,130.15703125,1253.6828125 
30,289.56484375,2062.9953125 
40,1047.590625,2646.9421875 
50,2077.25703125,3580.0328125 
60,2787.09609375,5044.9546875 
70,3383.21171875,6686.01328125 
80,3703.98671875,7286.06796875 
90,3839.46484375,7639.05078125 
100,3926.4421875,8201.8890625 
110,4076.934375,9092.18203125 
120,4145.1953125,9329.25703125 
130,4185.075,10464.74609375 
140,4236.72265625,11154.8765625 
150,4264.6640625,11712.02421875 
160,4355.71484375,12564.7453125 
170,4407.43984375,12645.846875 
180,4518.08515625,13293.12890625 
190,4579.70234375,13665.93515625 
200,4716.653125,14966.971875 
210,4813.946875,15399.48984375 
220,4881.2078125,16655.371875 
230,4905.3078125,17064.0875 
240,4929.45546875,18062.3375 
250,4951.6875,18713.93203125 
260,4977.09296875,19959.00546875 
270,4991.65703125,20432.0890625 
280,5021.334375,21897.15234375 
287,5037.67734375,22428.59140625 
