time,error_connection_closed,error_abort_max_send_retries,error_send_einval 
40,128.5,22.2,11.6 
50,335.6,102.2,18.5 
60,12.7,1.1,5.1 
70,5.4,0.5,4.3 
80,4.4,0,6.4 
90,0.6,0.3,1.7 
100,0,0,0 
110,0,0,0 
120,0,0,0 
130,0,0,0 
138,0,0,0 
