time,error_connection_closed,error_abort_max_send_retries,error_send_einval 
40,1285,222,116 
50,4641,1244,301 
60,4768,1255,352 
70,4822,1260,395 
80,4866,1260,459 
90,4872,1263,476 
100,4872,1263,476 
110,4872,1263,476 
120,4872,1263,476 
130,4872,1263,476 
138,4872,1263,476 
