time,connect,request 
0,2.7478,242.48740000000004 
34,2.5571818181818182,218.930512195122 
44,2.1480204081632657,449.05801709401703 
54,2.1420059523809547,2517.6725890410953 
64,2.141068313953493,7500.373144927536 
74,1.9870382357153085,406.5406462625079 
84,4.518209442881923,346.7380404192793 
94,2.1014814604616086,963.899196297723 
104,2.1340113309656763,1581.0374777168306 
114,2.1056550665301983,3069.241699514222 
124,2.0534086021505327,13402.131585227284 
134,1.9417310344827592,8943.381484087116 
144,2.038834319526625,10803.701451310866 
154,1.9549,15905.199148588417 
164,2.5176666666666665,11173.576248667856 
174,0,7475.919262251649 
184,0,7599.566042975201 
194,0,7525.027529090912 
204,0,4895.584136919323 
214,0,4752.954281385284 
224,0,6257.442561983471 
232,0,4922.060549549551 
