time,connect,request 
0,6.543,707.827 
34,4.998,751.113 
44,8.469,2762.719 
54,15.204,9539.007 
64,21.317,14131.181 
74,23.08,20387.526 
84,1025.924,27208.468 
94,1025.924,34182.112 
104,1025.924,41012.416 
114,1025.924,47015.285 
124,1025.924,47877.706 
134,1025.924,47877.706 
144,1025.924,47877.706 
154,1025.924,47877.706 
164,1025.924,47877.706 
174,1025.924,47877.706 
184,1025.924,47877.706 
194,1025.924,47877.706 
204,1025.924,47877.706 
214,1025.924,47877.706 
224,1025.924,47877.706 
232,1025.924,47877.706 
