time,size_sent,size_rcv 
0,1.7890625,28.9965533088235 
34,4.95955882352941,70.4967830882353 
44,20.2980238970588,241.089613970588 
54,44.51171875,404.95703125 
64,88.96484375,666.925091911765 
74,360.975413602941,905.96484375 
84,902.170496323529,1176.38189338235 
94,1467.76194852941,1577.71392463235 
104,1920.93175551471,1876.59053308824 
114,2233.41452205882,2042.40992647059 
124,2385.00482536765,2343.21346507353 
134,2493.26608455882,2758.62385110294 
144,2543.57100183824,3264.3515625 
154,2595.34352022059,3782.41038602941 
164,2679.75712316176,4636.09627757353 
174,2748.61236213235,5265.390625 
184,2801.98782169118,5938.78538602941 
194,2850.16750919118,6680.46943933824 
204,2895.87522977941,7399.10294117647 
214,2928.69784007353,8059.109375 
224,2943.88465073529,8593.09581801471 
232,2954.13419117647,9134.11374080882 
