time,freemem@tsung_controller@ip-172-31-32-26 
0,678.88671875 
10,666.7421875 
20,644.58203125 
30,626.0703125 
40,577.36328125 
50,484.10546875 
60,454.74609375 
70,452.859375 
80,432.53125 
90,425.93359375 
100,413.60546875 
110,405.0859375 
120,405.0859375 
130,405.0859375 
140,405.0859375 
150,405.0859375 
160,405.0859375 
170,402.0546875 
180,400.77734375 
190,385.88671875 
200,380.05078125 
210,380.05078125 
220,380.05078125 
230,380.05078125 
240,380.05078125 
250,380.05078125 
260,380.05078125 
270,380.05078125 
280,380.05078125 
287,380.05078125 
