time,200,302,504 
0,20,9, 
10,86,42, 
20,180,71, 
30,354,129, 
40,466,168, 
50,622,208, 
60,901,243, 
70,1263,334, 
80,1298,714, 
90,1308,985, 
100,1336,1131, 
110,1377,1647, 
120,1388,1736, 
130,1439,1836, 
140,1470,1884, 
150,1493,1944,9 
160,1529,2112,35 
170,1530,2197,143 
180,1586,2409,238 
190,1619,2512,243 
200,1730,2871,251 
210,1741,3067,251 
220,1786,3210,251 
230,1801,3244,251 
240,1839,3282,251 
250,1864,3302,251 
260,1911,3362,251 
270,1929,3380,251 
280,1981,3550,254 
287,2001,3577,254 
