time,page 
0,216.46549551466202 
10,393.188410057388 
20,1341.1373610795886 
30,2028.472634792213 
40,2680.7543134314697 
50,3157.822003459132 
60,2970.7425026012015 
70,4655.186489061734 
80,5756.2966708811255 
90,10050.8410015537 
100,16969.803820923644 
110,17505.29592897308 
120,10752.591558944097 
130,4573.598355357384 
140,4481.318050626055 
150,4935.3988099809685 
160,5252.847203676263 
170,5129.632260315639 
180,4334.317734286658 
190,5467.522589729934 
200,6760.737679429335 
210,7549.982757751419 
220,7512.624881727292 
230,6618.012956624198 
240,6419.00518253187 
250,9030.570068258728 
260,5791.907359622984 
270,7549.647045773527 
279,4128.1903456028385 
